Season,League,Player_id,Player,Age,Birth_date,Nation,Height,Team,Appearances,Minutes,Position,Rating,Shots Total,Shots On,Goals,Assists,Passes Total,Passes Key,Tackles Total,Blocks,Interceptions,Duels Total,Duels Won,Dribbles Attempted,Dribbles Success,Fouls Drawn,Fouls Committed,Yellow Cards,Red Cards,Weekly Wages $
2025-26,England League Two,286505.0,A Adeyemo,23.6,2002-07-01 00:00:00,England,182.0,Crawley Town,19.0,1189.0,Midfielder,6.441599999999999,11.0,9.0,1.0,0.0,325.0,13.0,30.0,1.0,7.0,198.0,102.0,58.0,25.0,14.0,9.0,3.0,0.0,0.0
2025-26,England Premier,129682.0,A Adli,25.7,2000-05-10 00:00:00,Morocco,174.0,Bournemouth,19.0,625.0,Attacker,6.3637999999999995,8.0,6.0,2.0,0.0,220.0,6.0,24.0,2.0,4.0,112.0,58.0,13.0,6.0,15.0,22.0,1.0,0.0,0.0
2023-24,Germany Bundesliga,129682.0,A Adli,56.1,1970-01-01 00:00:00,Morocco,174.0,Leverkusen,23.0,892.0,Attacker,6.60860796,23.0,15.0,4.0,5.0,428.0,22.0,16.0,2.0,6.0,143.0,77.0,23.0,13.0,28.0,14.0,5.0,0.0,0.0
2024-25,Germany Bundesliga,129682.0,A Adli,25.7,2000-05-10 00:00:00,Morocco,174.0,Leverkusen,20.0,756.0,Attacker,6.3158,13.0,7.0,2.0,0.0,317.0,11.0,16.0,0.0,0.0,130.0,61.0,31.0,15.0,9.0,15.0,3.0,0.0,67400.0
2023-24,England Championship,19183.0,A Adomah,56.1,1970-01-01 00:00:00,Ghana,185.0,QPR,16.0,359.0,Midfielder,5.796,1.0,0.0,0.0,0.0,84.0,5.0,22.0,0.0,2.0,66.0,29.0,8.0,2.0,2.0,7.0,2.0,0.0,0.0
2024-25,England League Two,19183.0,A Adomah,38.1,1987-12-13 00:00:00,Ghana,185.0,Walsall,45.0,1356.0,Defender,6.40481784,23.0,10.0,5.0,6.0,308.0,28.0,31.0,3.0,7.0,193.0,69.0,29.0,12.0,9.0,20.0,5.0,0.0,0.0
2025-26,England League Two,19183.0,A Adomah,38.1,1987-12-13 00:00:00,Ghana,185.0,Walsall,25.0,446.0,Attacker,5.904,9.0,6.0,2.0,2.0,108.0,5.0,9.0,0.0,3.0,85.0,23.0,16.0,9.0,3.0,10.0,1.0,0.0,0.0
2024-25,England League Two,367634.0,A Agbinone,20.3,2005-09-28 00:00:00,England,177.0,Gillingham,6.0,334.0,Midfielder,5.958,7.0,3.0,0.0,0.0,57.0,2.0,1.0,0.0,0.0,38.0,12.0,12.0,5.0,4.0,5.0,0.0,0.0,0.0
2024-25,Spain La Liga,47195.0,A Aguado,29.7,1996-05-01 00:00:00,Spain,174.0,Espanyol,16.0,435.0,Midfielder,5.985,5.0,1.0,0.0,1.0,232.0,4.0,5.0,1.0,4.0,37.0,21.0,7.0,5.0,8.0,5.0,3.0,0.0,18634.0
2025-26,England Championship,362145.0,A Ahmed,25.3,2000-10-10 00:00:00,Canada,180.0,Norwich,2.0,108.0,Midfielder,6.3,2.0,1.0,1.0,1.0,43.0,1.0,0.0,1.0,2.0,14.0,4.0,3.0,0.0,3.0,1.0,0.0,0.0,0.0
