Exp1,Under,Over,Un2.5_%,Ov2.5_%,Exp
2.95,2.26,1.79,0.44,0.56,2.95
2.95,2.27,1.79,0.44,0.56,2.95
2.96,2.28,1.78,0.44,0.56,2.96
2.97,2.29,1.78,0.44,0.56,2.97
2.98,2.3,1.77,0.44,0.56,2.98
2.99,2.31,1.76,0.43,0.57,2.99
3,2.32,1.76,0.43,0.57,3
3.01,2.33,1.75,0.43,0.57,3.01
3.01,2.34,1.75,0.43,0.57,3.01
3.02,2.35,1.74,0.43,0.57,3.02
3.03,2.36,1.74,0.42,0.58,3.03
3.04,2.37,1.73,0.42,0.58,3.04
3.04,2.38,1.72,0.42,0.58,3.04
3.05,2.39,1.72,0.42,0.58,3.05
3.05,2.4,1.71,0.42,0.58,3.05
3.06,2.41,1.71,0.42,0.58,3.06
3.06,2.42,1.7,0.41,0.59,3.06
3.07,2.43,1.7,0.41,0.59,3.07
3.08,2.44,1.69,0.41,0.59,3.08
3.09,2.45,1.69,0.41,0.59,3.09
3.1,2.46,1.68,0.41,0.59,3.1
3.1,2.47,1.68,0.4,0.6,3.1
3.11,2.48,1.68,0.4,0.6,3.11
3.11,2.49,1.67,0.4,0.6,3.11
3.12,2.5,1.67,0.4,0.6,3.12
3.12,2.51,1.66,0.4,0.6,3.12
3.12,2.52,1.66,0.4,0.6,3.12
3.13,2.53,1.65,0.4,0.6,3.13
3.14,2.54,1.65,0.39,0.61,3.14
3.14,2.55,1.65,0.39,0.61,3.14
3.15,2.56,1.64,0.39,0.61,3.15
3.15,2.57,1.64,0.39,0.61,3.15
3.15,2.58,1.63,0.39,0.61,3.15
3.15,2.59,1.63,0.39,0.61,3.15
3.16,2.6,1.63,0.38,0.62,3.16
3.16,2.61,1.62,0.38,0.62,3.16
3.17,2.62,1.62,0.38,0.62,3.17
3.17,2.63,1.61,0.38,0.62,3.17
3.18,2.64,1.61,0.38,0.62,3.18
3.19,2.65,1.61,0.38,0.62,3.19
3.19,2.66,1.6,0.38,0.62,3.19
3.2,2.67,1.6,0.38,0.63,3.2
3.21,2.68,1.6,0.37,0.63,3.21
3.22,2.69,1.59,0.37,0.63,3.22
3.23,2.7,1.59,0.37,0.63,3.23
3.24,2.71,1.58,0.37,0.63,3.24
3.25,2.72,1.58,0.37,0.63,3.25
3.25,2.73,1.58,0.37,0.63,3.25
3.26,2.74,1.57,0.36,0.64,3.26
3.26,2.75,1.57,0.36,0.64,3.26
3.27,2.76,1.57,0.36,0.64,3.27
3.27,2.77,1.56,0.36,0.64,3.27
3.28,2.78,1.56,0.36,0.64,3.28
3.28,2.79,1.56,0.36,0.64,3.28
3.29,2.8,1.56,0.36,0.64,3.29
3.29,2.81,1.55,0.36,0.64,3.29
3.3,2.82,1.55,0.35,0.65,3.3
3.31,2.83,1.55,0.35,0.65,3.31
3.31,2.84,1.54,0.35,0.65,3.31
3.32,2.85,1.54,0.35,0.65,3.32
3.33,2.86,1.54,0.35,0.65,3.33
3.34,2.87,1.53,0.35,0.65,3.34
3.35,2.88,1.53,0.35,0.65,3.35
3.36,2.89,1.53,0.35,0.65,3.36
3.38,2.9,1.53,0.34,0.66,3.38
3.39,2.91,1.52,0.34,0.66,3.39
3.4,2.92,1.52,0.34,0.66,3.4
3.41,2.93,1.52,0.34,0.66,3.41
3.42,2.96,1.51,0.34,0.66,3.42
3.46,3,1.5,0.33,0.67,3.46
3.48,3.04,1.49,0.33,0.67,3.48
3.5,3.08,1.48,0.32,0.68,3.5
3.53,3.13,1.47,0.32,0.68,3.53
3.55,3.17,1.46,0.32,0.68,3.55
3.57,3.22,1.45,0.31,0.69,3.57
3.6,3.27,1.44,0.31,0.69,3.6
3.63,3.33,1.43,0.3,0.7,3.63
3.65,3.38,1.42,0.3,0.7,3.65
3.67,3.44,1.41,0.29,0.71,3.67
3.7,3.44,1.41,0.29,0.71,3.7
3.72,3.5,1.4,0.29,0.71,3.72
3.74,3.56,1.39,0.28,0.72,3.74
3.76,3.63,1.38,0.28,0.72,3.76
3.78,3.7,1.37,0.27,0.73,3.78
3.8,3.7,1.37,0.27,0.73,3.8
3.82,3.78,1.36,0.26,0.74,3.82
3.84,3.78,1.36,0.26,0.74,3.84
3.86,3.86,1.35,0.26,0.74,3.86
3.9,3.94,1.34,0.25,0.75,3.9
3.94,4.03,1.33,0.25,0.75,3.94
3.98,4.13,1.32,0.24,0.76,3.98
4.02,4.23,1.31,0.24,0.76,4.02
4.05,4.33,1.3,0.23,0.77,4.05
4.1,4.45,1.29,0.22,0.78,4.1
4.14,4.57,1.28,0.22,0.78,4.14
4.19,4.7,1.27,0.21,0.79,4.19
4.24,4.85,1.26,0.21,0.79,4.24
4.28,5,1.25,0.2,0.8,4.28
4.34,5.17,1.24,0.19,0.81,4.34
4.39,5.35,1.23,0.19,0.81,4.39
4.45,5.55,1.22,0.18,0.82,4.45
4.5,5.76,1.21,0.17,0.83,4.5
