League,Avg_dist
England Premier,115
England Championship,108
England League One,92
England League Two,112
Scotland Premier,43
Spain La Liga,258
France Ligue 1,277
Germany Bundesliga,173
Italy Serie A,189
Portugal Lga I,289
Netherlands Eredivisie,62
Belgium Jupiler,45
Germany 2 Bundesliga,175
Greece Super League,132
Turkey Super Lig,322
Italy Serie B,206
France Ligue 2,256
Spain La Liga 2,435
South African Premier,315
